feature,mean,std,min,max
REGION_RISK_SCORE,7948.483172734578,1539.2070032932295,7050.440521240234,9725.77320098877
RECENT_PAY_PAYMENT_DIFF_std,7811.879700660706,1230.4837466094589,6391.137912750244,8536.736095428467
OBS_30_CNT_SOCIAL_CIRCLE,7784.450128555298,1648.333709299296,6601.036264419556,9667.146114349365
CNT_FAM_MEMBERS,7665.420113881429,2065.1044428176,5281.266725540161,8896.430410385132
PREV_REFUSED_COUNT,7539.992276509603,1025.9444550061412,6939.550399780273,8724.613683700562
OLD_APPROVAL_RATE,7491.436599731445,1715.838052244592,6185.33829498291,9434.71078491211
ENTRANCES_AVG,7386.098960876465,680.023536338307,6680.22500038147,8036.925977706909
PREV_CASH_LOAN_COUNT,7340.758061091105,1349.9798140158643,5842.84210395813,8463.388807296753
POS_COMPLETED_COUNT,7259.264482498169,1195.6012159339102,6249.353227615356,8579.40212059021
FLOORSMAX_AVG,7229.482604344686,520.0024687507264,6666.689701080322,7692.126617431641
CC_MONTHS_COUNT,7176.823263168335,2485.9779205180785,4415.070709228516,9235.65849494934
AMT_CREDIT_LIMIT_ACTUAL_min,6974.387429873149,2036.2972276450578,4955.459482192993,9027.6204662323
PREV_APPROVED_COUNT,6887.990749359131,1844.8190813362469,5699.7590045928955,9013.261882781982
YEARS_BUILD_MEDI,6844.133466720581,108.57037465899718,6754.135206222534,6964.715406417847
RECENT_PAY_PAYMENT_DIFF_max,6754.75864092509,857.1924389406826,5765.588207244873,7279.9259967803955
LATE_PAYMENT_sum,6587.777798016866,1711.2465158386674,5407.5725021362305,8550.360403060913
SK_DPD_DEF_max_x,6558.649218241374,1172.589209356097,5442.871917724609,7780.801532745361
CC_SPENDING_TREND,6482.405384063721,1012.3296865115962,5544.816028594971,7555.771020889282
CC_UTILIZATION_MEAN,6467.56311416626,1677.2762660836927,4635.598793029785,7927.774745941162
SK_DPD_mean_x,6460.795630137126,316.56925660541884,6100.5153160095215,6694.458358764648
RECENT_PAY_UNDERPAYMENT_mean,6297.41859404246,1391.4341694946604,5164.334581375122,7850.459213256836
AMT_PAYMENT_CURRENT_max,6272.170332590739,1314.0384358194506,4986.154306411743,7612.544172286987
AMT_DRAWINGS_POS_CURRENT_sum,6165.633032480876,1595.4450650979,4521.041097640991,7706.909515380859
AMT_REQ_CREDIT_BUREAU_YEAR,6123.618915557861,1899.6689381016495,4016.483907699585,7705.133972167969
AMT_BALANCE_max,6109.631671269734,1505.3952050525816,5085.187917709351,7838.0364990234375
POS_DPD_IMPROVEMENT,6108.183677037557,1808.6921117191594,4631.2376136779785,8125.46079826355
UNDERPAYMENT_sum,6044.861470540364,1335.3658013460777,4582.508306503296,7199.528596878052
AMT_CREDIT_LIMIT_ACTUAL_max,5933.562436421712,1082.1265645229323,5287.718894958496,7182.854808807373
CC_RECENT_AMT_BALANCE_max,5763.567385991414,1312.2603827482235,4268.248607635498,6723.461610794067
PAYMENT_DIFF_max,5469.512241363525,1353.4019256550753,4651.55290222168,7031.706401824951
EXT_SOURCE_1_CUBED,5312.812164942424,824.4919779797984,4361.013820648193,5807.338081359863
NAME_TYPE_SUITE,5309.138982137044,1957.3932926481616,3102.4631958007812,6835.9446811676025
CC_SPENDING_ACCELERATION,5304.123588562012,1172.3864600269642,4038.7245960235596,6353.433279037476
PREV_APP_COUNT,5102.812765757243,1622.8903732313959,3336.390905380249,6527.861791610718
SK_DPD_sum_x,5100.212258974711,1771.5251275412893,3356.9277839660645,6898.688196182251
EXT_SOURCE_2_CUBED,5024.691403706868,983.2009676955427,3889.389902114868,5593.762802124023
AMT_PAYMENT_CURRENT_sum,4998.34736887614,1529.4740925776105,3485.9396953582764,6544.334892272949
AMT_DRAWINGS_POS_CURRENT_max,4855.968398412068,1652.7289507442756,2959.5097064971924,5988.849597930908
BUREAU_STATUS_1_RATIO,4641.887400945027,1183.1537130103877,3863.4223194122314,6003.40940284729
CC_RECENT_AMT_DRAWINGS_CURRENT_max,4367.589167912801,2732.9376862142467,2495.4027156829834,7503.713487625122
ELEVATORS_AVG,4350.238916397095,467.2003384335447,4016.0624103546143,4884.097810745239
NAME_HOUSING_TYPE,4344.506052652995,1194.32242143695,2965.4249897003174,5036.805696487427
CC_OLD_AMT_PAYMENT_CURRENT_mean,4338.300704956055,838.6371160752689,3526.416389465332,5201.347999572754
FLOORSMAX_MEDI,4284.529806137085,394.01797122032895,3846.16961479187,4609.2107009887695
FLOORSMIN_AVG,4225.6004066467285,732.0587665290857,3771.595001220703,5070.113721847534
